[2025-12-24 00:33:12.272] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-12-24 00:33:12.272] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-12-24 00:33:12.282] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-12-24 00:33:12.282] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-12-24 00:33:12.288] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-12-24 00:33:12.288] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-12-24 00:33:12.293] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-12-24 00:33:12.293] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-12-24 00:33:12.301] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-12-24 00:33:12.301] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-12-24 00:33:12.304] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-12-24 00:33:12.304] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-12-24 00:33:12.309] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-12-24 00:33:12.309] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-12-24 00:33:12.310] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-12-24 00:33:12.310] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-12-24 00:33:12.316] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-12-24 00:33:12.316] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-12-24 00:33:12.320] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-12-24 00:33:12.320] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-12-24 00:33:12.325] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-12-24 00:33:12.325] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-12-24 00:33:12.328] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-12-24 00:33:12.328] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-12-24 00:33:12.330] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-12-24 00:33:12.330] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-12-24 00:33:12.332] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
